ReleaseID,version,ClassName,LOC,NRtotal,NRpartial,NfixTotal,NfixPartial,NauthTotal,NauthPartial,locAddedTotal,locAddedPartial,churnTotal,ChurnPartial,maxChurnTotal,maxChurnPartial,avgChurnTotal,avgChurnPartial,age,chgSetTotal,chgSetPartial,maxChangeSetTotal,maxChangeSetPartial,avgChgSetTotal,avgChgSetPartial,smells,Buggy
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,493,2,2,0,0,1,1,493,493,493,493,493,493,246,246,37,2077,2077,1049,1049,1038,1038,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,159,2,2,0,0,1,1,159,159,159,159,159,159,79,79,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ContainsKeyExpression.java,43,4,4,0,0,1,1,86,86,86,86,43,43,21,21,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,69,2,2,0,0,1,1,69,69,69,69,69,69,34,34,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Closeable.java,27,5,5,0,0,1,1,42,42,46,46,27,27,9,9,58,3089,3089,1031,1031,617,617,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractChangeTracker.java,233,5,5,0,0,1,1,482,482,488,488,239,239,97,97,45,3071,3071,1031,1031,614,614,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/MethodLifecycleCallbacks.java,110,5,5,0,0,1,1,222,222,224,224,112,112,44,44,45,3521,3521,1028,1028,704,704,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java,35,2,2,0,0,1,1,35,35,35,35,35,35,17,17,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java,311,4,4,0,0,2,2,322,322,322,322,309,309,80,80,37,2520,2520,1049,1049,630,630,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Unique.java,53,2,2,0,0,1,1,53,53,53,53,53,53,26,26,37,2077,2077,1049,1049,1038,1038,0,yes
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ECopyState.java,80,4,4,0,0,1,1,161,161,162,162,81,81,40,40,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCValueOrder.java,64,2,2,0,0,1,1,64,64,64,64,64,64,32,32,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,310,3,3,0,0,2,2,313,313,313,313,309,309,104,104,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java,117,3,3,0,0,2,2,121,121,121,121,117,117,40,40,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,672,8,8,0,0,2,2,1354,1354,1368,1368,682,682,171,171,45,4038,4038,1028,1028,504,504,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,160,2,2,0,0,1,1,160,160,160,160,160,160,80,80,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java,71,6,6,0,0,1,1,191,191,213,213,91,91,35,35,45,3153,3153,1030,1030,525,525,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ContainsValueExpression.java,43,4,4,0,0,1,1,86,86,86,86,43,43,21,21,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/NoneOrphanedKeyAction.java,34,4,4,0,0,1,1,66,66,66,66,34,34,16,16,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,86,2,2,0,0,1,1,86,86,86,86,86,86,43,43,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Args.java,80,5,5,0,0,2,2,171,171,182,182,84,84,36,36,45,3437,3437,1031,1031,687,687,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,253,2,2,0,0,1,1,253,253,253,253,253,253,126,126,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractLRSProxyCollection.java,426,5,5,0,0,1,1,851,851,853,853,428,428,170,170,45,3521,3521,1028,1028,704,704,0,no
1,0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchGroup.java,52,6,6,0,0,2,2,87,87,87,87,36,36,14,14,45,3596,3596,1031,1031,599,599,0,no
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/CodeFormat.java,581,5,5,0,0,1,1,816,816,885,885,644,644,177,177,58,3089,3089,1031,1031,617,617,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,602,3,3,0,0,1,1,604,604,604,604,601,601,201,201,37,2429,2429,1049,1049,809,809,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyTableFieldStrategy.java,267,5,5,0,0,2,2,288,288,299,299,276,276,59,59,37,2542,2542,1049,1049,508,508,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/EDeletedState.java,71,4,4,0,0,1,1,143,143,144,144,72,72,36,36,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,2053,3,3,0,0,2,2,2056,2056,2056,2056,2053,2053,685,685,37,2178,2178,1049,1049,726,726,0,yes
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java,1345,7,7,0,0,3,3,2987,2987,3138,3138,1496,1496,448,448,45,3825,3825,1028,1028,546,546,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InterbaseDictionary.java,115,2,2,0,0,1,1,115,115,115,115,115,115,57,57,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaults.java,304,2,2,0,0,1,1,304,304,304,304,304,304,152,152,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Count.java,49,4,4,0,0,1,1,97,97,97,97,49,49,24,24,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryKey.java,465,5,5,0,0,2,2,901,901,901,901,465,465,180,180,45,3114,3114,1031,1031,622,622,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java,321,2,2,0,0,1,1,321,321,321,321,321,321,160,160,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java,442,3,3,0,0,1,1,444,444,446,446,444,444,148,148,37,2099,2099,1049,1049,699,699,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/OrphanedKeyAction.java,40,4,4,0,0,1,1,82,82,82,82,40,40,20,20,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,680,7,7,0,0,2,2,707,707,709,709,633,633,101,101,37,2671,2671,1049,1049,381,381,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Arguments.java,30,4,4,0,0,1,1,58,58,58,58,30,30,14,14,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RuntimeStrategyInstaller.java,93,2,2,0,0,1,1,93,93,93,93,93,93,46,46,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchGroups.java,34,4,4,0,0,1,1,67,67,67,67,34,34,16,16,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JDataStoreDictionary.java,112,2,2,0,0,1,1,112,112,112,112,112,112,56,56,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,703,2,2,0,0,1,1,703,703,703,703,703,703,351,351,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/EDirtyState.java,87,4,4,0,0,1,1,175,175,176,176,88,88,44,44,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractLRSProxyMap.java,525,5,5,0,0,1,1,1040,1040,1041,1041,526,526,208,208,45,3521,3521,1028,1028,704,704,0,no
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/AbstractCollection.java,47,5,5,0,0,1,1,64,64,71,71,48,48,14,14,58,3089,3089,1031,1031,617,617,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerFactoryValue.java,91,9,9,0,0,2,2,187,187,229,229,67,67,25,25,45,3281,3281,1029,1029,364,364,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java,95,2,2,0,0,1,1,95,95,95,95,95,95,47,47,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/SequenceMapping.java,149,2,2,0,0,1,1,149,149,149,149,149,149,74,74,37,2077,2077,1049,1049,1038,1038,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StoreCollectionFieldStrategy.java,518,3,3,0,0,2,2,553,553,562,562,527,527,187,187,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBrokerFactory.java,193,5,5,0,0,1,1,407,407,419,419,205,205,83,83,45,3521,3521,1028,1028,704,704,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryResult.java,64,4,4,0,0,1,1,125,125,125,125,64,64,31,31,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/PersistListener.java,34,4,4,0,0,1,1,66,66,66,66,34,34,16,16,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Join.java,190,3,3,0,0,2,2,191,191,192,192,151,151,64,64,37,2452,2452,1049,1049,817,817,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Avg.java,62,4,4,0,0,1,1,121,121,121,121,62,62,30,30,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CurrentDate.java,41,5,5,0,0,2,2,96,96,104,104,49,49,20,20,45,3437,3437,1031,1031,687,687,0,no
