classPath,ruleName,priority,description,startLine,endLine
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'evalProjectionsResultShape(JPQLNode, QueryExpressions, List<Value>, List<String>, List<String>)' has a cyclomatic complexity of 18.",396,396
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,NPathComplexity,3,"The method 'evalProjectionsResultShape(JPQLNode, QueryExpressions, List<Value>, List<String>, List<String>)' has an NPath complexity of 210, current threshold is 200",396,396
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidLiteralsInIfCondition,3,"Avoid using literals in if statements",404,404
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,EmptyCatchBlock,3,"Avoid empty catch blocks",435,437
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidCatchingGenericException,3,"Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block",435,435
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidLiteralsInIfCondition,3,"Avoid using literals in if statements",455,455
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `parent` (degree 1)",466,466
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidLiteralsInIfCondition,3,"Avoid using literals in if statements",480,480
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `shape` on foreign value `exps` (degree 1)",486,486
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `resultClass` on foreign value `exps` (degree 1)",487,487
